country_rank,username,reputation,worldwide_rank,resolved_reports,thanks_items,signal,impact,user_type,profile,user_id
1,supermancyber,28596,46,662,70,6.99,16.95,individual,https://hackerone.com/supermancyber,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMjg0NTYzOA==
2,irwanjugabro,25331,63,679,231,6.22,18.67,individual,https://hackerone.com/irwanjugabro,Z2lkOi8vaGFja2Vyb25lL1VzZXIvOTgzNjU3
3,amr_id,10200,242,274,37,7.0,18.39,individual,https://hackerone.com/amr_id,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMjM3OTg3Nw==
4,hrdfrdh,9904,,412,251,5.88,16.82,individual,https://hackerone.com/hrdfrdh,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMTcwOTQ2Ng==
5,emanuelharijanto,9532,262,267,144,6.62,18.99,individual,https://hackerone.com/emanuelharijanto,Z2lkOi8vaGFja2Vyb25lL1VzZXIvNjkxNDA0
6,root_geek280,9157,276,243,161,5.87,19.35,individual,https://hackerone.com/root_geek280,Z2lkOi8vaGFja2Vyb25lL1VzZXIvNDg5NjAy
7,rafiem,7751,339,350,13,6.4,16.3,individual,https://hackerone.com/rafiem,Z2lkOi8vaGFja2Vyb25lL1VzZXIvNDI4MzQ3
8,n13s,6856,397,187,56,5.53,19.63,individual,https://hackerone.com/n13s,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMTI4ODI5NQ==
9,gnux,5517,503,185,79,4.62,17.57,individual,https://hackerone.com/gnux,Z2lkOi8vaGFja2Vyb25lL1VzZXIvNTkxOTY=
10,clearlovefanboi,5490,508,73,90,6.71,30.14,individual,https://hackerone.com/clearlovefanboi,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMTI3Njg3NA==
11,back2arie,5184,549,127,68,7.0,20.28,individual,https://hackerone.com/back2arie,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMjUyMjI2Nw==
12,auxirie,4995,570,110,22,6.88,18.37,individual,https://hackerone.com/auxirie,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMTE2Njk5NA==
13,find_me_here,4604,619,125,43,5.62,19.36,individual,https://hackerone.com/find_me_here,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMTI3MTg0NA==
14,vibonacci,4604,619,86,50,6.52,26.14,individual,https://hackerone.com/vibonacci,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMjI4NjYwOA==
15,ssherlock1,4495,632,118,33,6.4,16.96,individual,https://hackerone.com/ssherlock1,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMjgzOTIwNw==
16,arong3117,4325,656,166,18,6.58,16.37,individual,https://hackerone.com/arong3117,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMjYwNDI5NQ==
17,apapedulimu,4023,719,132,35,5.45,17.38,individual,https://hackerone.com/apapedulimu,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMTU4NDA3
18,gevakun,3948,731,112,29,6.59,13.9,individual,https://hackerone.com/gevakun,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMTgzNjgz
19,cthulhufhtagn,3442,829,57,10,6.89,22.93,individual,https://hackerone.com/cthulhufhtagn,Z2lkOi8vaGFja2Vyb25lL1VzZXIvOTQxNzIy
20,tipsen,3119,915,46,27,7.0,19.29,individual,https://hackerone.com/tipsen,Z2lkOi8vaGFja2Vyb25lL1VzZXIvNDI1MjIzOQ==
21,muhammaddaffa,2829,997,73,49,5.9,18.48,individual,https://hackerone.com/muhammaddaffa,Z2lkOi8vaGFja2Vyb25lL1VzZXIvNTg5NzAw
22,them4les_l1r,2808,1012,85,14,6.23,16.87,individual,https://hackerone.com/them4les_l1r,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMTA1OTk3Nw==
23,v0id1,2797,1017,89,23,6.42,21.68,individual,https://hackerone.com/v0id1,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMjEzNjg3MQ==
24,frozzipies,2726,1042,63,21,5.85,16.97,individual,https://hackerone.com/frozzipies,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMjEwNDU2OA==
25,mrzheev,2459,1140,67,49,4.44,20.9,individual,https://hackerone.com/mrzheev,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMTI5NTE4MQ==
26,mhmmdazhari,2430,1156,62,22,7.0,21.96,individual,https://hackerone.com/mhmmdazhari,Z2lkOi8vaGFja2Vyb25lL1VzZXIvNjkzNTI0
27,zeeagil,2374,1174,46,17,6.4,15.5,individual,https://hackerone.com/zeeagil,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMjY1NTIzMg==
28,abdilahrf_,2373,1175,77,57,5.25,19.49,individual,https://hackerone.com/abdilahrf_,Z2lkOi8vaGFja2Vyb25lL1VzZXIvODU1OA==
29,nnxxrr,2322,,31,16,5.69,18.6,individual,https://hackerone.com/nnxxrr,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMjk5OTk5MA==
30,n1rmala,2127,1290,44,16,4.45,15.37,individual,https://hackerone.com/n1rmala,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMjgxOTU4OA==
31,smileydoxxx,2112,1297,75,44,5.09,17.93,individual,https://hackerone.com/smileydoxxx,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMTE2MjQyNA==
32,0xshdax,2110,1299,85,43,6.47,16.06,individual,https://hackerone.com/0xshdax,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMTAwNDU1MQ==
33,syarif07,2097,1304,56,28,3.64,18.16,individual,https://hackerone.com/syarif07,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMTc4NjU5OA==
34,rabka,2079,1315,27,9,7.0,24.83,individual,https://hackerone.com/rabka,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMjU0NzAzMQ==
35,b4dc4t,1860,1434,49,35,6.49,17.74,individual,https://hackerone.com/b4dc4t,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMTA1MDI3NA==
36,prasetia,1790,1484,62,8,5.75,20.25,individual,https://hackerone.com/prasetia,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMTU3NTA1
37,rugb,1494,1721,42,28,4.06,26.31,individual,https://hackerone.com/rugb,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMzc3NDY=
38,antonade,1468,1751,10,18,5.93,17.55,individual,https://hackerone.com/antonade,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMzg3MjgyNA==
39,toxfly,1429,1789,27,5,6.67,26.43,individual,https://hackerone.com/toxfly,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMjgyMzE4NQ==
40,0x3rz4f,1420,1800,45,9,6.76,23.45,individual,https://hackerone.com/0x3rz4f,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMjI1MjA4NA==
41,sepolia,1395,1823,47,22,5.28,17.5,individual,https://hackerone.com/sepolia,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMTc4MjQ3
42,33x,1390,1828,18,15,6.6,17.45,individual,https://hackerone.com/33x,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMzQ0MDIyMw==
43,bebensap,1323,1884,50,11,5.77,28.33,individual,https://hackerone.com/bebensap,Z2lkOi8vaGFja2Vyb25lL1VzZXIvNDMxNTE3Mg==
44,rootbakar_,1315,1900,49,17,2.65,17.12,individual,https://hackerone.com/rootbakar_,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMjYwNTE0
45,asdqw3,1204,2052,38,23,6.08,23.03,individual,https://hackerone.com/asdqw3,Z2lkOi8vaGFja2Vyb25lL1VzZXIvNzMzNTMw
46,nanwn,1191,2068,37,33,4.21,23.29,individual,https://hackerone.com/nanwn,Z2lkOi8vaGFja2Vyb25lL1VzZXIvNTU3MTQ1
47,elvies,1170,2087,11,18,7.0,17.12,individual,https://hackerone.com/elvies,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMjg0NjA2Mw==
48,novemberelang,1165,2094,35,18,6.06,15.8,individual,https://hackerone.com/novemberelang,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMjgzNzAzOQ==
49,xzyhellsing,1122,2157,11,23,6.12,19.46,individual,https://hackerone.com/xzyhellsing,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMjYxNDY2Mw==
